"LABEL","PLATFORM","TYPE","ENGLISH","AMERICAN","FRENCH","GERMAN","DANISH","FRENCH_CANADIAN","DUTCH","MEXICAN"
"HINT_CAN_USE_WALL_CUT","All","Hint","Hold [[ACTION]] to fire a laser. Once the laser hits the wall move it around the outline to cut out a shape.","Hold [[ACTION]] to fire a laser. Once the laser hits the wall move it around the outline to cut out a shape.","Maintenez [[ACTION]] pour tirer le laser. Ensuite, déplacez-le pour découper la forme.","Halte [[ACTION]] gedrückt, um deinen Laserstrahl zu verwenden. Wenn der Laser auf die Wand trifft, lenk ihn an der Linie entlange, um eine Form herauszubrennen.","Hold [[ACTION]] nede for at affyre en laser. Når laseren rammer væggen, kan du bevæge den rundt langs med linjerne for at skære efter formen.","Maintenez [[ACTION]] pour tirer le laser. Ensuite, déplacez-le pour découper la forme.","Hou [[ACTION]] ingedrukt om de laser te gebruiken. Zodra de laser de muur raakt, kun je hem bewegen langs het silhouet om een vorm uit te snijden.","Mantén oprimido [[SPECIAL]] para disparar un láser. Cuando el láser toque la pared, muévelo alrededor del contorno para recortar una forma."
"DX_Batman_ItsBackForMoreItSeems","All","Subtitle","Batman: It's back for more, it seems.","Batman: It's back for more, it seems.","Batman : Elle revient à l'assaut on dirait.","Batman: Scheint, als wolle sie noch eine Runde.","Den er vist kommet tilbage efter mere.","Batman : Elle revient à l'assaut on dirait.","Batman: Hij is terug en wil meer, lijkt het.","Batman: Parece que volvió por más."
"DX_LordVortech_iWillNotBeDenied","All","Subtitle","Lord Vortech: I will not be denied retribution!","Lord Vortech: I will not be denied retribution!","Lord Vortech : Mon châtiment sera terrrrrrrible¬!","Lord Vortech: Ich werde Verrrgeltung üben!","Hævnen skal nok blive min!","Lord Vortech : Mon châtiment sera terrrrrrrible¬!","Lord Vortech: Niemand zal mijn straf ontlopen.","Lord Vortech: ¡No me negarán el castigo!"
"DX_Wyldstyle_HereWeGoAgain","All","Subtitle","Wyldstyle: Here we go again...","Wyldstyle: Here we go again...","Cool Tag : C'est reparti pour un tour...","Wyldstyle: Auf ein Neues!","Så kører vi igen ...","Wyldstyle : C'est reparti pour un tour...","Wyldstyle: Daar gaan we weer.","Estilo-libre: Vamos de nuevo..."
"DX_TheTri_TheRiftHasBeen","All","Subtitle","The Tri: The rift has been established. Dimensional unification has begun.","The Tri: The rift has been established. Dimensional unification has begun.","Le Trois : La faille est enfin en place. L'unification dimensionnelle a commencé.","Die Tri: Der Tunnel wurde errichtet. Die Vereinigung der Dimensionen hat begonnen.","Revnen er blevet åbnet. Dimensionel forening er nu begyndt.","Le Trois : La faille est enfin en place. L'unification dimensionnelle a commencé.","De Tri: De kloof is klaar. Dimensionele vereniging is begonnen.","El Tri: Se creó la grieta. Comenzó la unificación dimensional."
"DX_2ndDoctor_OurLivesAre","All","Subtitle","2nd Doctor: Our lives are different to anybody else's. That's the exciting thing, that nobody in the universe can do what we're doing.","2nd Doctor: Our lives are different to anybody else's. That's the exciting thing, that nobody in the universe can do what we're doing.","2e Docteur : Nos vies sont différentes de celles des autres. C'est ça qui est si exaltant. Personne d'autre dans l'univers ne peut faire ça à part nous.","2. Doktor: Unsere Leben sind anders als die der Anderen, das ist das Aufregende daran. Niemand im Universum kann genau das tun, was wir tun.","Vores liv er anderledes end alle andres. Det er det spændende ved det: Ingen andre i universet kan gøre, hvad vi gør.","2e Docteur : Nos vies sont différentes de celles des autres. C'est ça qui est si exaltant. Personne d'autre dans l'univers ne peut faire ça à part nous.","Tweede Doctor: Onze levens zijn anders dan die van anderen. Dat is het spannende, dat niemand in het heelal kan wat wij kunnen.","Segundo Doctor: Nuestras vidas son diferentes a las de los demás. Eso es lo emocionante, que nadie en el universo puede hacer lo que hacemos."
"DX_Benny_OhNoDoWe","All","Subtitle","Benny: Oh no! Do we have to deal with these bad guys?","Benny: Oh no! Do we have to deal with these bad guys?","Benny : Oh, non¬! Il faut qu'on s'occupe de ces sales types¬?","Benny: Oh nein, müssen wir jetzt mit den fiesen Typen fertig werden?","Åh nej, skal vi virkelig tage os af disse skurke?","Benny : Oh, non¬! Il faut qu'on s'occupe de ces sales types¬?","Benny: O nee. Krijgen wij met deze schurken te maken?","Benny: ¡Oh, no! ¿Tenemos que lidiar con los malos?"
"DX_DocEmmetBrown_IfILinger","All","Subtitle","Doc Emmett Brown: If I stay here too long, it could have terrible consequences for the space-time continuum!","Doc Emmett Brown: If I stay here too long, it could have terrible consequences for the space-time continuum!","Doc Emmett Brown : Si je m'attarde ici trop longtemps, ça pourrait avoir des conséquences désastreuses sur le continuum espace-temps¬!","Doc Emmett Brown: Wenn ich hier zu lange rumtrödle, könnte das schlimme Auswirkungen auf das Raum-Zeit-Kontinuum haben.","Hvis jeg bliver her for længe, kan det have alvorlige konsekvenser for rum-tidskontinummet.","Doc Emmett Brown : Si je m'attarde ici trop longtemps, ça pourrait avoir des conséquences désastreuses sur le continuum espace-temps¬!","Doc Emmett Brown: Als ik hier te lang rondhang kan dat vreselijke gevolgen hebben voor het ruimte-tijdcontinuüm.","Doc Emmett Brown: Si permanezco aquí demasiado, ¡podría tener terribles consecuencias en el continuo espacio-tiempo!"
"DX_Gollum_WeFoundsIt","All","Subtitle","Gollum: We founds it! We founds the Precious! That's not the Precious, stupid!","Gollum: We founds it! We founds the Precious! That's not the Precious, stupid!","Gollum : Nous avons trouvé¬! Nous avons trouvé le Précieux¬! Ce n'est pas le Précieux, idiot¬!","Gollum: Wir haben es gefunden! Wir haben den Schatz! ... Das ist nicht der Schatz, Dummkopf!","Vi har fundet den! Vi har fundet den dyrebare! Det er ikke den dyrebare, dit fjols!","Gollum : Nous avons trouvé¬! Nous avons trouvé le Précieux¬! Ce n'est pas le Précieux, idiot¬!","Gollum: We hebben het gevondsen! De lieveling! Dat is de lieveling niet, stommerd!","Gollum: ¡Lo encontramos! ¡Encontramos al precioso! ¡Ese no es el precioso!"
"DX_KidGamer_LetsDoThis","All","Subtitle","Gamer Kid: Lets do this!..","Gamer Kid: Lets do this!..","Gamin ''gamer'' : C'est parti¬!","Zocker: Los geht's¬...","Så gør vi det!","Gamin ''gamer'' : C'est parti¬!","Gamerkind: Aan de slag.","Niño Jugador: ¡Hagámoslo!"
"DX_MartyMcfly_INARIFTThisIs","All","Subtitle","Marty McFly: This is nothing like regular time travel! WAHOOO!","Marty McFly: This is nothing like regular time travel! WAHOOO!","Marty McFly : Il balance du tonnerre, ce voyage dans le temps¬! WAHOUUU¬!","Marty McFly: Das ist ganz anders als beim Zeitreisen. Huuuuuuu!","Det er slet ikke som at rejse i tiden! Juhuu!","Marty McFly : Il balance du tonnerre, ce voyage dans le temps¬! WAHOUUU¬!","Marty McFly: Dit is heel anders dan gewoon tijdreizen.","Marty McFly: ¡No se parece en nada al viaje del tiempo! ¡Yujuuu!"
"DX_Slimer_Laughing2","All","Subtitle","¬","¬","¬","¬","¬","¬","¬","¬"
"DX_WickedWitch_DratMyEvil","All","Subtitle","Wicked Witch: Drat! My evil is required elsewhere!","Wicked Witch: Drat! My evil is required elsewhere!","Méchante Sorcière : Mince¬! On a besoin de mes maléfices ailleurs¬!","Böse Hexe: Verflixt! Meine Bosheit wird anderswo benötigt!","Æv! Jeg skal ud og være ond et andet sted.","Wicked Witch : Mince¬! On a besoin de mes maléfices ailleurs¬!","Boze heks: Verdikkeme, ik moet ergens anders slecht zijn!","Bruja Mala: ¡Ah! ¡Se requiere de mi maldad en otro lado!"
"CS_Gandalf_MyThanks","All","Subtitle","Gandalf: My thanks.","Gandalf: My thanks.","Gandalf : Oh-oh, ah-ah... Merci bien.","Gandalf: Hab Dank!","Jeg takker.","Gandalf : Oh-oh, ah-ah... Merci bien.","Gandalf: Mijn dank.","Gandalf: Un placer."
"CS_PoliceOfficer_WowAForEffort","All","Subtitle","Police Officer: Wow. ''A'' for effort.","Police Officer: Wow. ''A'' for effort.","Policière : Ouah. Tout dans le style.","Polizist: Wow. Netter Versuch.","Wow! 12 for indsatsen.","Policière : Ouah. Tout dans le style.","Politieagent: Wauw. Een tien voor inzet.","Oficial de policía: Guau. Gran esfuerzo."
"CS_Batman_WeHaveToGetThat","All","Subtitle","Batman: We have to get that Foundation Element before they can escape!","Batman: We have to get that Foundation Element before they can escape!","Batman : Nous devons récupérer l'Élément fondateur avant qu'ils ne s'échappent¬!","Batman: Wir müssen das Fundament-Element erreichen, bevor sie entkommen!","Vi må have fat i det kerneelement, før de slipper væk!","Batman : Nous devons récupérer l'Élément fondateur avant qu'ils ne s'échappent¬!","Batman: We moeten dat Funderingselement pakken voor ze kunnen ontsnappen!","Batman: ¡Debemos conseguir el elemento base antes de que escapen!"
"HINT_VEHICLESTUN","All","Hint","Wheeled vehicles, such as [[char=ti_batmobile_1]], can drive into ~2Stunned~~ enemies.","Wheeled vehicles, such as [[char=ti_batmobile_1]], can drive into ~2Stunned~~ enemies.","Les véhicules à roues tels que la [[char=ti_batmobile_1]] peuvent percuter les ennemis ~2assommés~~.","Fahrzeuge wie das [[char=ti_batmobile_1]] können in ~2betäubte~~ Feinde fahren.","Fartøjer med hjul som [[char=ti_batmobile_1]] kan køre ind i ~2lammede~~ fjender.","Les véhicules à roues tels que la [[char=ti_batmobile_1]] peuvent percuter les ennemis ~2assommés~~.","Voertuigen met wielen zoals de [[char=ti_batmobile_1]] kunnen op ~2verdoofde~~ vijanden inrijden.","Modelos rodantes como [[char=ti_batmobile_1]] pueden manejar contra enemigos ~2atontados~~."
"DX_Scooby_Quest04_IDL","All","Subtitle","Velma: Jinkies! This is one mystery I just can't get my head around!","Velma: Jinkies! This is one mystery I just can't get my head around!","Véra : Sapristi¬! J'arrive toujours pas à faire la lumière sur ce mystère¬!","Velma: Oh nein ... das ist ein Fall, den ich einfach nicht lösen kann¬...","Jøsses. Det her mysterium kan jeg slet ikke regne ud.","Velma : Sapristi¬! J'arrive toujours pas à faire la lumière sur ce mystère¬!","Velma: Jemig. Dit mysterie gaat mijn petje te boven.","Vilma: ¡Cielos! ¡No encuentro la manera de resolver este misterio!"
"LoadingScreen_Slideways","All","Level","Vortex","Vortex","Vortex","Wirbel","Malstrøm","Vortex","Vortex","Vórtice"
"DX_EXPO_TryMovingYourCharacterZ","All","Subtitle","X-PO: Try moving your character on the Toy Pad!","X-PO: Try moving your character on the Toy Pad!","X-PO : Essayez de déplacer votre personnage sur le Toy¬Pad¬! Avec vos mains, pas les boutons¬!","X-PO: Bewege doch mal deinen Charakter auf das Toypad! Mit den Händen, nicht mit den Knöpfen.","Prøv at flytte din figur på Toypad'en. Med hænderne – ikke knapperne.","X-PO : Essayez de déplacer votre personnage sur le Toy¬Pad¬! Avec vos mains, pas les boutons¬!","X-PO: Probeer je personage te verplaatsen op de Toypad.","X-PO: ¡Intenta mover tu personaje en la plataforma! ¡Con tus manos, no con los botones!"
"MINEWEAPONAMMO_DESC","All","LegoAPI","Adds mines.","Adds mines.","Ajoute des mines.","Fügt Minen hinzu.","Tilføjer miner.","Ajoute des mines.","Voegt mijnen toe.","Agrega minas."
"HUB_CHIMA","All","Game","Legends of Chima World","Legends of Chima World","Legends of Chima","Welt: Legends of Chima","Verden: Legends of CHIMA","Legends of Chima","Legends of Chima-wereld","Mundo de La leyenda de Chima"
"HINT_BUILDITS","All","Hint","Hold [[SPECIAL]] to build objects from ~2hopping LEGO bricks~~.","Hold [[SPECIAL]] to build objects from ~2hopping LEGO bricks~~.","Maintenez [[SPECIAL]] appuyé pour construire des objets à partir de ~2briques LEGO rebondissantes~~.","Halt [[SPECIAL]] gedrückt, um Gegenstände aus ~2hüpfenden LEGO-Steinen~~ zu bauen.","Hold [[SPECIAL]] nede for at bygge genstande af ~2hoppende LEGO klodser~~.","Maintenez [[SPECIAL]] appuyé pour construire des objets à partir de ~2briques LEGO rebondissantes~~.","Hou [[SPECIAL]] ingedrukt om objecten te bouwen van ~2stuiterende LEGO-stenen~~.","Mantén presionado [[SPECIAL]] para construir objetos a partir de ~2ladrillos LEGO brincadores~~."
"CS_WickedWitch_WhatsThatSomething","All","Subtitle","Wicked Witch: What's that? Something magical?","Wicked Witch: What's that? Something magical?","Méchante Sorcière : Qu'est-ce que c'est¬? Un objet magique¬?","Böse Hexe: Was ist das? Etwas Magisches?","Hvad var det? Noget magisk?","Wicked Witch : Qu'est-ce que c'est¬? Un objet magique¬?","Boze heks: Wat is dat? Iets magisch?","Bruja Mala: ¿Qué es eso? ¿Algo mágico?"
"ChoirRoom","All","Game","Restore the choir room?","Restore the choir room?","Restaurer la salle de chorale¬?","Den Chorsaal wiederaufbauen?","Reparer korrummet?","Restaurer la salle de chorale¬?","De koorruimte herstellen?","¿Restablecer la sala del coro?"
"PORTAL_QUEST00_ACT_PAGE2","All","Game","Collected ~5spheres~~ will only count towards the test when returned to this point.","Collected ~5spheres~~ will only count towards the test when returned to this point.","GLaDOS : Les ~5sphères~~ récupérées ne seront comptabilisées pour le test qu'une fois de retour à cet endroit.","Aufgesammelte ~5Kugeln~~ zählen nur für den Test, wenn sie zurückgebracht werden.","Indsamlede ~5kugler~~ tæller kun hvis de bliver taget med tilbage hertil.","GLaDOS : Les ~5sphères~~ récupérées ne seront comptabilisées pour le test qu'une fois de retour à cet endroit.","De verzamelde ~5bollen~~ tellen alleen mee voor de test als ze worden teruggebracht naar dit punt.","Las ~5esferas~~ recolectadas solo se tomarán en cuenta para la prueba cuando vuelvas a este punto."
"LEVEL_8MIDDLEEARTHFREE","All","Level","Dinosaurs... on a Spaceship?","Dinosaurs... on a Spaceship?","Des dinosaures... dans un vaisseau spatial¬?","Dinosaurier ... in einem Raumschiff?","Dinosaurer På Et Rumskib?","Des dinosaures... dans un vaisseau spatial¬?","Dinosaurussen... in een ruimteschip?","Dinosaurios... ¿en una nave?"
"LEVEL_10RETROGAMESBBONUS","All","Level","Defender HD","Defender HD","Defender HD","Defender HD","Defender HD","Defender HD","Verdediger HD","Defender HD"
"HINT_CANNOT_USE_TWIRL_POLE","All","Hint","Only characters such as [[char=LEGOLAS]] can create extra Twirl Poles using their Pole Vault Ability.","Only characters such as [[char=LEGOLAS]] can create extra Twirl Poles using their Pole Vault Ability.","Seuls les personnages tels que [[char=Legolas]] peuvent créer de nouvelles perches d'acrobate avec la Capacité : Perche d'acrobate.","Nur akrobatische Charaktere wie [[char=LEGOLAS]], die die Fähigkeit „Stangenklettern“ haben, können neue Kletterstangen bauen.","Kun figurer som [[char=LEGOLAS]] kan skabe ekstra akrobatstænger ved hjælp af deres Evne: Stangspring.","Seuls les personnages tels que [[char=Legolas]] peuvent créer de nouvelles perches d'acrobate avec la Capacité : Perche d'acrobate.","Alleen personages zoals [[char=LEGOLAS]] kunnen extra zwaaistangen maken door Polsstokspringen te gebruiken.","Solo personajes como [[char=LEGOLAS]] pueden crear postes de balanceo extras usando su habilidad de saltar entre postes."
"DX_Gandalf_ThereLook","All","Subtitle","Gandalf: There! Look!","Gandalf: There! Look!","Gandalf : Regardez¬! Par là¬!","Gandalf: Dort, seht!","Dér! Se!","Gandalf : Regardez¬! Par là¬!","Gandalf: Daar, kijk.","Gandalf: ¡Allí! ¡Miren!"
"DX_LordVortech_LeaveTheFoundationOfAll","All","Subtitle","Lord Vortech: LEAVE THE ''FOUNDATION OF ALL DIMENSIONS'' ALONE!","Lord Vortech: LEAVE THE ''FOUNDATION OF ALL DIMENSIONS'' ALONE!","Lord Vortech : LA ''FONDATION DE TOUTES LES DIMENSIONS''¬! LAISSEZ-LA TRANQUILLE¬!","Lord Vortech: Lasst das Fundament aller Dimensionen in Ruhe!","Lad ''fundamentet for alle dimensioner'' være i fred!","Lord Vortech : LA ''FONDATION DE TOUTES LES DIMENSIONS''¬! LAISSEZ-LA TRANQUILLE¬!","Lord Vortech: LAAT DE FUNDERING VAN ALLE DIMENSIES MET RUST.","Lord Vortech: ¡Deja en paz a la ''Base de todas las dimensiones''!"
"DX_Wyldstyle_HesGotTheHigh","All","Subtitle","Wyldstyle: He's got the high ground. We need to balance things out...","Wyldstyle: He's got the high ground. We need to balance things out...","Cool Tag : C'est lui qui a l'avantage. Il faut qu'on rééquilibre la partie...","Wyldstyle: Er ist in der besseren Position. Wir müssen die Sache abwägen¬...","Han har højdefordelen. Den skal vi have udlignet først.","Wyldstyle : C'est lui qui a l'avantage. Il faut qu'on rééquilibre la partie...","Wyldstyle: Hij heeft het voordeel. We moeten het gelijk zien te maken.","Estilo-libre: Tiene la ventaja. Hay que equilibrar la situación..."
"DX_TheTri_YourAttemptsAre","All","Subtitle","The Tri: Your attempts are pointless. Stop now and flee whilst you can.","The Tri: Your attempts are pointless. Stop now and flee whilst you can.","Le Trois : Vous vous démenez en vain. Laissez tomber et fuyez, tant qu'il en est encore temps.","Die Tri: Eure Versuche sind vergebens! Hört auf und flieht! Solange ihr noch könnt!","Jeres forsøg er formålsløse. Stop nu, og flygt, mens I kan.","Le Trois : Vous vous démenez en vain. Laissez tomber et fuyez, tant qu'il en est encore temps.","De Tri: Deze pogingen zijn zinloos. Stop en vlucht nu het nog kan.","El Tri: Tus intentos son inútiles. Detente ahora y huye mientras puedes."
"DX_2ndDoctor_ThereAreSome","All","Subtitle","2nd Doctor: There are some corners of the universe which have bred the most terrible things. Things which act against everything we believe in. They must be fought.","2nd Doctor: There are some corners of the universe which have bred the most terrible things. Things which act against everything we believe in. They must be fought.","2e Docteur : Dans certains endroits de l'univers, des choses terrifiantes ont vu le jour. Des horreurs qui s'opposent à toutes nos convictions. Nous devons les combattre.","2. Doktor: Es gibt ein paar Ecken im Universum, die schreckliche Kreaturen hervorgebracht haben; Kreaturen, die gegen all unsere Werte verstoßen. Sie müssen bekämpft werden.","Nogle af universets afkroge har skabt rædselsvækkende ting. Ting, der ødelægger alt, hvad vi tror på. Vi må bekæmpe dem.","2e Docteur : Dans certains endroits de l'univers, des choses terrifiantes ont vu le jour. Des horreurs qui s'opposent à toutes nos convictions. Nous devons les combattre.","Tweede Doctor: Uit sommige hoeken van het universum komen de akeligste dingen voort. Dingen die indruisen tegen alles waarin we geloven. Die moeten worden bestreden.","Segundo Doctor: Algunos rincones del universo engendraron cosas terribles. Cosas que actúan en contra de lo que creemos. Tenemos que combatirlas."
"DX_Benny_OhOhIKnow","All","Subtitle","Benny: Oh, oh! I know what this thing is!","Benny: Oh, oh! I know what this thing is!","Benny : Oh, oh¬! Je sais ce que c'est, ça¬!","Benny: Oh, oh! Ich weiß, was das ist!","Åh! Åh! Jeg ved godt hvad det her er!","Benny : Oh, oh¬! Je sais ce que c'est, ça¬!","Benny: Ik weet wat dit is!","Benny: ¡Oh, oh! ¡Conozco esa cosa!"
"DX_DocEmmetBrown_IfWeAddA","All","Subtitle","Doc Emmett Brown: If we add a small amplification unit here... a little nuclear injector there... and .. MAGNIFICENT!","Doc Emmett Brown: If we add a small amplification unit here... a little nuclear injector there... and .. MAGNIFICENT!","Doc Emmett Brown : En ajoutant une petite unité d'amplification ici... Un petit injecteur nucléaire juste là... alors... QUELLE MERVEILLE¬!","Doc Emmett Brown: Wenn wir hier noch etwas verstärken, und hier einen kleinen Nuklearinjektor einbauen ... Haha, wunderbar!","Hvis vi sætter en forstærkerenhed her ... en lille atomventil her ... og ... storslået.","Doc Emmett Brown : En ajoutant une petite unité d'amplification ici... Un petit injecteur nucléaire juste là... alors... QUELLE MERVEILLE¬!","Doc Emmett Brown: Hier een kleine versterker, daar een kleine nucleaire injector en... waanzinnig.","Doc Emmett Brown: Si agregáramos una pequeña unidad de amplificación... un pequeño inyector nuclear aquí... y... ¡Magnífico!"
"DX_Gollum_WellThisIsATricksy","All","Subtitle","Gollum: Well this is a tricksy one!","Gollum: Well this is a tricksy one!","Gollum : Aargh, c'est une énigme difficile.","Gollum: Das ist ein schwieriges Rätsel!","Øj, den er altså rigtigt svær.","Gollum : Aargh, c'est une énigme difficile.","Gollem: Dit is een hersenkrakers.","Gollum: ¡Este es difícil!"
"DX_KidGamer_LetsModifyThe","All","Subtitle","Gamer Kid: Let's modify the build!","Gamer Kid: Let's modify the build!","Gamin ''gamer'' : Faut corriger cette version¬!","Zocker: Feilen wir mal an unserem Build!","Lad os pille i koden!","Gamin ''gamer'' : Faut corriger cette version¬!","Gamerkind: Tijd voor wat aanpassingen.","Niño Jugador: ¡Modifiquemos esto!"
"DX_MartyMcfly_IveAFeeling","All","Subtitle","Marty McFly: I've got a feeling we're not in Hill Valley anymore. Or are we?","Marty McFly: I've got a feeling we're not in Hill Valley anymore. Or are we?","Marty McFly : J'ai l'impression qu'on n'est plus à Hill Valley. Où on est, alors¬?","Marty McFly: Das sieht aber nicht aus wie Hill Valley. Wo sind wir hier?","Jeg tror altså ikke, at vi er i Hill Valley længere... eller er vi?","Marty McFly : J'ai l'impression qu'on n'est plus à Hill Valley. Où on est, alors¬?","Marty McFly: Volgens mij zijn we niet meer in Hill... of toch wel?","Marty McFly: Creo que ya no estamos más en Hill Valley... ¿o sí?"
"DX_Slimer_Moving1","All","Subtitle","¬","¬","¬","¬","¬","¬","¬","¬"
"DX_WickedWitch_HaveYouFoundYour","All","Subtitle","Wicked Witch: Have you found your courage yet, you oversized housecat?","Wicked Witch: Have you found your courage yet, you oversized housecat?","Méchante Sorcière : Alors, avez-vous trouvé votre courage, espèce de matou disproportionné¬?","Böse Hexe: Hast du deinen Mut schon gefunden, du zu groß geratene Hauskatze?","Har du snart fundet dit mod, din forvoksede huskat?","Wicked Witch : Alors, avez-vous trouvé votre courage, espèce de matou disproportionné¬?","Boze heks: Heb je je moed al gevonden, uit de klauwen gewassen schootkat?","Bruja Mala: ¿Ya reuniste suficiente coraje, gato enorme?"
"CS_Gandalf_FrodoYell","All","Subtitle","Gandalf: Frodo!","Gandalf: Frodo!","Gandalf : Frodon¬!","Gandalf: Frodo!","Frodo!","Gandalf : Frodon¬!","Gandalf: Frodo!","Gandalf: ¡Frodo!"
"CS_Batman_ThisIsMetropolis","All","Subtitle","Batman: This is Metropolis...","Batman: This is Metropolis...","Batman : On est à Metropolis...","Batman: Das ist Metropolis¬...","Det er Metropolis...","Batman : On est à Metropolis...","Batman: Dit is Metropolis.","Batman: Esto es Metrópolis..."
"CS_Gandalf_IndeedAlthoughISuspect","All","Subtitle","Gandalf: Indeed... although I suspect we may encounter some otherworldly resistance!","Gandalf: Indeed... although I suspect we may encounter some otherworldly resistance!","Gandalf : En effet... Hélas, je crains que nous n'ayons affaire à des antagonistes d'un autre monde¬!","Gandalf: Durchaus. Doch ich vermute, uns könnte Widerstand aus dem Jenseits erwarten.","Så sandt ... omend jeg er bange for, at vi vil støde på modstand fra en anden verden.","Gandalf : En effet... Hélas, je crains que nous n'ayons affaire à des antagonistes d'un autre monde¬!","Gandalf: Zeker. Maar ik vermoed dat we op bovennatuurlijk verzet zullen stuiten!","Gandalf: Ciertamente... ¡Aunque sospecho que nos toparemos con alguna resistencia etérea!"
